"Label (Grouping)","Population 1 year and over"
"        Estimate","0.5%"
"        Margin of Error","±0.4"
"Harnett County, North Carolina",""
"    Total",""
"        Estimate","134,729"
"        Margin of Error","±371"
"    Moved; within same county",""
"        Estimate","3.8%"
"        Margin of Error","±0.7"
"    Moved; from different county, same state",""
"        Estimate","6.7%"
"        Margin of Error","±0.9"
"    Moved; from different  state",""
"        Estimate","3.0%"
"        Margin of Error","±0.6"
"    Moved; from abroad",""
"        Estimate","0.5%"
"        Margin of Error","±0.2"
"Haywood County, North Carolina",""
"    Total",""
"        Estimate","62,057"
"        Margin of Error","±170"
"    Moved; within same county",""
"        Estimate","6.1%"
"        Margin of Error","±1.4"
"    Moved; from different county, same state",""
"        Estimate","2.7%"
"        Margin of Error","±0.6"
"    Moved; from different  state",""
"        Estimate","2.6%"
"        Margin of Error","±0.8"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Henderson County, North Carolina",""
"    Total",""
"        Estimate","116,485"
"        Margin of Error","±168"
"    Moved; within same county",""
"        Estimate","4.1%"
"        Margin of Error","±0.8"
"    Moved; from different county, same state",""
"        Estimate","4.2%"
"        Margin of Error","±0.8"
"    Moved; from different  state",""
"        Estimate","2.7%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.6%"
"        Margin of Error","±0.3"
"Hertford County, North Carolina",""
"    Total",""
"        Estimate","20,289"
"        Margin of Error","±73"
"    Moved; within same county",""
"        Estimate","2.9%"
"        Margin of Error","±0.9"
"    Moved; from different county, same state",""
"        Estimate","3.4%"
"        Margin of Error","±0.7"
"    Moved; from different  state",""
"        Estimate","3.0%"
"        Margin of Error","±0.9"
"    Moved; from abroad",""
"        Estimate","0.6%"
"        Margin of Error","±0.5"
"Hoke County, North Carolina",""
"    Total",""
"        Estimate","52,204"
"        Margin of Error","±258"
"    Moved; within same county",""
"        Estimate","2.6%"
"        Margin of Error","±0.7"
"    Moved; from different county, same state",""
"        Estimate","6.4%"
"        Margin of Error","±1.3"
"    Moved; from different  state",""
"        Estimate","3.9%"
"        Margin of Error","±1.1"
"    Moved; from abroad",""
"        Estimate","0.4%"
"        Margin of Error","±0.3"
"Hyde County, North Carolina",""
"    Total",""
"        Estimate","4,625"
"        Margin of Error","±14"
"    Moved; within same county",""
"        Estimate","1.9%"
"        Margin of Error","±1.7"
"    Moved; from different county, same state",""
"        Estimate","3.7%"
"        Margin of Error","±2.6"
"    Moved; from different  state",""
"        Estimate","2.5%"
"        Margin of Error","±3.2"
"    Moved; from abroad",""
"        Estimate","1.6%"
"        Margin of Error","±2.8"
"Iredell County, North Carolina",""
"    Total",""
"        Estimate","189,299"
"        Margin of Error","±298"
"    Moved; within same county",""
"        Estimate","5.5%"
"        Margin of Error","±0.7"
"    Moved; from different county, same state",""
