"Label (Grouping)","AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years","AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!Less than high school graduate","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma"
"Pickens County, Alabama","","","","",""
"    Total","","","","",""
"        Estimate","1,592","206","13,612","1,045","1,149"
"    Percent","","","","",""
"        Estimate","(X)","12.9%","(X)","7.7%","8.4%"
"    Male","","","","",""
"        Estimate","953","144","6,244","487","547"
"    Percent Male","","","","",""
"        Estimate","(X)","15.1%","(X)","7.8%","8.8%"
"    Female","","","","",""
"        Estimate","639","62","7,368","558","602"
"    Percent Female","","","","",""
"        Estimate","(X)","9.7%","(X)","7.6%","8.2%"
"Pike County, Alabama","","","","",""
"    Total","","","","",""
"        Estimate","7,304","311","19,352","592","1,811"
"    Percent","","","","",""
"        Estimate","(X)","4.3%","(X)","3.1%","9.4%"
"    Male","","","","",""
"        Estimate","3,389","143","9,091","308","946"
"    Percent Male","","","","",""
"        Estimate","(X)","4.2%","(X)","3.4%","10.4%"
"    Female","","","","",""
"        Estimate","3,915","168","10,261","284","865"
"    Percent Female","","","","",""
"        Estimate","(X)","4.3%","(X)","2.8%","8.4%"
"Randolph County, Alabama","","","","",""
"    Total","","","","",""
"        Estimate","1,946","324","15,690","707","1,866"
"    Percent","","","","",""
"        Estimate","(X)","16.6%","(X)","4.5%","11.9%"
"    Male","","","","",""
"        Estimate","1,045","219","7,479","446","939"
"    Percent Male","","","","",""
"        Estimate","(X)","21.0%","(X)","6.0%","12.6%"
"    Female","","","","",""
"        Estimate","901","105","8,211","261","927"
"    Percent Female","","","","",""
"        Estimate","(X)","11.7%","(X)","3.2%","11.3%"
"Russell County, Alabama","","","","",""
"    Total","","","","",""
"        Estimate","4,533","970","40,019","2,089","3,598"
"    Percent","","","","",""
"        Estimate","(X)","21.4%","(X)","5.2%","9.0%"
"    Male","","","","",""
"        Estimate","2,267","588","18,585","915","1,631"
"    Percent Male","","","","",""
"        Estimate","(X)","25.9%","(X)","4.9%","8.8%"
"    Female","","","","",""
"        Estimate","2,266","382","21,434","1,174","1,967"
"    Percent Female","","","","",""
"        Estimate","(X)","16.9%","(X)","5.5%","9.2%"
"St. Clair County, Alabama","","","","",""
"    Total","","","","",""
"        Estimate","6,732","1,336","65,356","2,744","5,370"
"    Percent","","","","",""
"        Estimate","(X)","19.8%","(X)","4.2%","8.2%"
"    Male","","","","",""
"        Estimate","3,445","735","31,670","1,711","2,873"
"    Percent Male","","","","",""
"        Estimate","(X)","21.3%","(X)","5.4%","9.1%"
"    Female","","","","",""
"        Estimate","3,287","601","33,686","1,033","2,497"
"    Percent Female","","","","",""
"        Estimate","(X)","18.3%","(X)","3.1%","7.4%"
"Shelby County, Alabama","","","","",""
"    Total","","","","",""
"        Estimate","18,922","2,305","155,808","3,140","6,196"
"    Percent","","","","",""
"        Estimate","(X)","12.2%","(X)","2.0%","4.0%"
"    Male","","","","",""
"        Estimate","9,421","1,367","74,632","1,616","3,438"
"    Percent Male","","","","",""
"        Estimate","(X)","14.5%","(X)","2.2%","4.6%"
"    Female","","","","",""
"        Estimate","9,501","938","81,176","1,524","2,758"
"    Percent Female","","","","",""
"        Estimate","(X)","9.9%","(X)","1.9%","3.4%"
"Sumter County, Alabama","","","","",""
"    Total","","","","",""
"        Estimate","2,588","26","7,121","168","690"
"    Percent","","","","",""
"        Estimate","(X)","1.0%","(X)","2.4%","9.7%"
"    Male","","","","",""
"        Estimate","1,066","26","3,106","114","297"
"    Percent Male","","","","",""
"        Estimate","(X)","2.4%","(X)","3.7%","9.6%"
"    Female","","","","",""
"        Estimate","1,522","0","4,015","54","393"
"    Percent Female","","","","",""
"        Estimate","(X)","0.0%","(X)","1.3%","9.8%"
"Talladega County, Alabama","","","","",""
"    Total","","","","",""
"        Estimate","6,393","805","57,894","2,568","6,399"
"    Percent","","","","",""
"        Estimate","(X)","12.6%","(X)","4.4%","11.1%"
"    Male","","","","",""
"        Estimate","3,099","515","27,969","1,510","3,491"
"    Percent Male","","","","",""
"        Estimate","(X)","16.6%","(X)","5.4%","12.5%"
"    Female","","","","",""
"        Estimate","3,294","290","29,925","1,058","2,908"
"    Percent Female","","","","",""
"        Estimate","(X)","8.8%","(X)","3.5%","9.7%"
"Tallapoosa County, Alabama","","","","",""
"    Total","","","","",""
"        Estimate","2,930","301","29,757","1,357","3,461"
"    Percent","","","","",""
"        Estimate","(X)","10.3%","(X)","4.6%","11.6%"
"    Male","","","","",""
"        Estimate","1,475","162","14,227","874","1,800"
"    Percent Male","","","","",""
"        Estimate","(X)","11.0%","(X)","6.1%","12.7%"
"    Female","","","","",""
"        Estimate","1,455","139","15,530","483","1,661"
"    Percent Female","","","","",""
"        Estimate","(X)","9.6%","(X)","3.1%","10.7%"
"Tuscaloosa County, Alabama","","","","",""
"    Total","","","","",""
"        Estimate","42,340","2,088","143,277","4,286","8,794"
"    Percent","","","","",""
"        Estimate","(X)","4.9%","(X)","3.0%","6.1%"
"    Male","","","","",""
"        Estimate","20,179","1,083","68,165","2,573","4,289"
"    Percent Male","","","","",""
"        Estimate","(X)","5.4%","(X)","3.8%","6.3%"
"    Female","","","","",""
"        Estimate","22,161","1,005","75,112","1,713","4,505"
"    Percent Female","","","","",""
"        Estimate","(X)","4.5%","(X)","2.3%","6.0%"
"Walker County, Alabama","","","","",""
"    Total","","","","",""
"        Estimate","5,282","792","44,887","2,160","5,525"
"    Percent","","","","",""
"        Estimate","(X)","15.0%","(X)","4.8%","12.3%"
"    Male","","","","",""
"        Estimate","2,717","293","21,447","1,166","2,677"
"    Percent Male","","","","",""
"        Estimate","(X)","10.8%","(X)","5.4%","12.5%"
"    Female","","","","",""
"        Estimate","2,565","499","23,440","994","2,848"
"    Percent Female","","","","",""
"        Estimate","(X)","19.5%","(X)","4.2%","12.2%"
"Washington County, Alabama","","","","",""
"    Total","","","","",""
"        Estimate","1,372","62","10,738","189","1,026"
"    Percent","","","","",""
"        Estimate","(X)","4.5%","(X)","1.8%","9.6%"
"    Male","","","","",""
"        Estimate","730","15","5,189","90","350"
"    Percent Male","","","","",""
"        Estimate","(X)","2.1%","(X)","1.7%","6.7%"
"    Female","","","","",""
"        Estimate","642","47","5,549","99","676"
"    Percent Female","","","","",""
"        Estimate","(X)","7.3%","(X)","1.8%","12.2%"
"Wilcox County, Alabama","","","","",""
"    Total","","","","",""
"        Estimate","1,087","307","6,931","459","1,075"
"    Percent","","","","",""
"        Estimate","(X)","28.2%","(X)","6.6%","15.5%"
"    Male","","","","",""
"        Estimate","603","224","3,158","193","614"
"    Percent Male","","","","",""
"        Estimate","(X)","37.1%","(X)","6.1%","19.4%"
"    Female","","","","",""
"        Estimate","484","83","3,773","266","461"
"    Percent Female","","","","",""
"        Estimate","(X)","17.1%","(X)","7.1%","12.2%"
"Winston County, Alabama","","","","",""
"    Total","","","","",""
"        Estimate","1,764","341","17,058","1,189","2,433"
"    Percent","","","","",""
"        Estimate","(X)","19.3%","(X)","7.0%","14.3%"
"    Male","","","","",""
"        Estimate","931","184","8,299","565","1,489"
"    Percent Male","","","","",""
"        Estimate","(X)","19.8%","(X)","6.8%","17.9%"
"    Female","","","","",""
"        Estimate","833","157","8,759","624","944"
"    Percent Female","","","","",""
"        Estimate","(X)","18.8%","(X)","7.1%","10.8%"
"Aleutians East Borough, Alaska","","","","",""
"    Total","","","","",""
"        Estimate","406","28","2,607","185","235"
"    Percent","","","","",""
"        Estimate","(X)","6.9%","(X)","7.1%","9.0%"
"    Male","","","","",""
"        Estimate","211","24","1,694","148","181"
"    Percent Male","","","","",""
"        Estimate","(X)","11.4%","(X)","8.7%","10.7%"
"    Female","","","","",""
"        Estimate","195","4","913","37","54"
"    Percent Female","","","","",""
"        Estimate","(X)","2.1%","(X)","4.1%","5.9%"
"Aleutians West Census Area, Alaska","","","","",""
"    Total","","","","",""
"        Estimate","574","63","3,921","213","160"
"    Percent","","","","",""
"        Estimate","(X)","11.0%","(X)","5.4%","4.1%"
"    Male","","","","",""
"        Estimate","429","47","2,848","159","89"
"    Percent Male","","","","",""
"        Estimate","(X)","11.0%","(X)","5.6%","3.1%"
"    Female","","","","",""
"        Estimate","145","16","1,073","54","71"
"    Percent Female","","","","",""
"        Estimate","(X)","11.0%","(X)","5.0%","6.6%"
"Anchorage Municipality, Alaska","","","","",""
"    Total","","","","",""
"        Estimate","27,920","3,043","192,495","4,231","7,303"
"    Percent","","","","",""
"        Estimate","(X)","10.9%","(X)","2.2%","3.8%"
"    Male","","","","",""
"        Estimate","15,683","1,859","97,251","2,092","3,801"
"    Percent Male","","","","",""
"        Estimate","(X)","11.9%","(X)","2.2%","3.9%"
"    Female","","","","",""
"        Estimate","12,237","1,184","95,244","2,139","3,502"
"    Percent Female","","","","",""
"        Estimate","(X)","9.7%","(X)","2.2%","3.7%"
"Bethel Census Area, Alaska","","","","",""
"    Total","","","","",""
"        Estimate","1,866","668","10,181","619","1,221"
"    Percent","","","","",""
"        Estimate","(X)","35.8%","(X)","6.1%","12.0%"
"    Male","","","","",""
"        Estimate","980","381","5,562","309","728"
