"Label (Grouping)","Population 1 year and over"
"        Estimate","23,636"
"        Margin of Error","±59"
"    Moved; within same county",""
"        Estimate","6.9%"
"        Margin of Error","±1.5"
"    Moved; from different county, same state",""
"        Estimate","3.3%"
"        Margin of Error","±1.0"
"    Moved; from different  state",""
"        Estimate","0.8%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.2"
"Aleutians East Borough, Alaska",""
"    Total",""
"        Estimate","3,370"
"        Margin of Error","±8"
"    Moved; within same county",""
"        Estimate","5.0%"
"        Margin of Error","±1.5"
"    Moved; from different county, same state",""
"        Estimate","2.6%"
"        Margin of Error","±1.2"
"    Moved; from different  state",""
"        Estimate","6.5%"
"        Margin of Error","±2.0"
"    Moved; from abroad",""
"        Estimate","2.3%"
"        Margin of Error","±1.8"
"Aleutians West Census Area, Alaska",""
"    Total",""
"        Estimate","5,659"
"        Margin of Error","±9"
"    Moved; within same county",""
"        Estimate","7.1%"
"        Margin of Error","±1.6"
"    Moved; from different county, same state",""
"        Estimate","2.9%"
"        Margin of Error","±0.8"
"    Moved; from different  state",""
"        Estimate","6.6%"
"        Margin of Error","±1.7"
"    Moved; from abroad",""
"        Estimate","3.2%"
"        Margin of Error","±1.4"
"Anchorage Municipality, Alaska",""
"    Total",""
"        Estimate","289,343"
"        Margin of Error","±438"
"    Moved; within same county",""
"        Estimate","12.8%"
"        Margin of Error","±0.8"
"    Moved; from different county, same state",""
"        Estimate","1.8%"
"        Margin of Error","±0.3"
"    Moved; from different  state",""
"        Estimate","4.3%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.9%"
"        Margin of Error","±0.2"
"Bethel Census Area, Alaska",""
"    Total",""
"        Estimate","17,792"
"        Margin of Error","±50"
"    Moved; within same county",""
"        Estimate","8.8%"
"        Margin of Error","±1.3"
"    Moved; from different county, same state",""
"        Estimate","2.2%"
"        Margin of Error","±0.8"
"    Moved; from different  state",""
"        Estimate","1.1%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Bristol Bay Borough, Alaska",""
"    Total",""
"        Estimate","858"
"        Margin of Error","±77"
"    Moved; within same county",""
"        Estimate","9.0%"
"        Margin of Error","±3.3"
"    Moved; from different county, same state",""
"        Estimate","6.3%"
"        Margin of Error","±3.5"
"    Moved; from different  state",""
"        Estimate","4.7%"
"        Margin of Error","±2.3"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.4"
"Denali Borough, Alaska",""
"    Total",""
"        Estimate","2,243"
"        Margin of Error","±368"
"    Moved; within same county",""
"        Estimate","3.1%"
"        Margin of Error","±2.9"
"    Moved; from different county, same state",""
"        Estimate","6.9%"
"        Margin of Error","±3.8"
"    Moved; from different  state",""
"        Estimate","21.4%"
"        Margin of Error","±20.5"
"    Moved; from abroad",""
"        Estimate","5.4%"
"        Margin of Error","±6.9"
"Dillingham Census Area, Alaska",""
"    Total",""
"        Estimate","4,886"
"        Margin of Error","±13"
"    Moved; within same county",""
"        Estimate","9.3%"
